mun_norm;municipio;pactuado_qty;valor_pactuado;custo_real_producao;saldo_financeiro;situacao
ALCANTIL;0;0.0;0.0;110722.48000000001;-110722.48000000001;Deficit (Custo > Pacto)
BOQUEIRAO;BOQUEIRÃO;100.0;70662.0;141996.41;-71334.41;Deficit (Custo > Pacto)
ESPERANCA;ESPERANÇA;250.0;176655.0;242227.29;-65572.29000000001;Deficit (Custo > Pacto)
AROEIRAS;AROEIRAS;153.0;108112.86;165572.53999999998;-57459.67999999998;Deficit (Custo > Pacto)
JUAREZ TAVORA;JUAREZ TÁVORA;40.0;28264.8;77085.7;-48820.899999999994;Deficit (Custo > Pacto)
BARRA DE SAO MIGUEL;BARRA DE SÃO MIGUEL;50.0;35331.0;82229.01999999999;-46898.01999999999;Deficit (Custo > Pacto)
GADO BRAVO;GADO BRAVO;51.0;36037.62;80817.28;-44779.659999999996;Deficit (Custo > Pacto)
RIACHAO;0;0.0;0.0;38198.729999999996;-38198.729999999996;Deficit (Custo > Pacto)
ITATUBA;ITATUBA;90.0;63595.8;98886.37;-35290.56999999999;Deficit (Custo > Pacto)
SOLEDADE;SOLEDADE;120.0;84794.4;120023.28;-35228.880000000005;Deficit (Custo > Pacto)
SERRA BRANCA;0;0.0;0.0;34390.98;-34390.98;Deficit (Custo > Pacto)
CARAUBAS;CARAÚBAS;20.0;14132.4;47675.670000000006;-33543.270000000004;Deficit (Custo > Pacto)
BARRA DE SANTANA;BARRA DE SANTANA;50.0;35331.0;68319.04999999999;-32988.04999999999;Deficit (Custo > Pacto)
CUBATI;CUBATI;33.0;23318.46;54279.36;-30960.9;Deficit (Custo > Pacto)
SAO VICENTE DO SERIDO;SÃO VICENTE DO SERIDÓ;75.0;52996.5;82894.73;-29898.229999999996;Deficit (Custo > Pacto)
SOSSEGO;0;0.0;0.0;26336.940000000002;-26336.940000000002;Deficit (Custo > Pacto)
SANTA CECILIA;SANTA CECÍLIA;54.0;38157.48;63946.990000000005;-25789.510000000002;Deficit (Custo > Pacto)
CONGO;0;0.0;0.0;23146.829999999998;-23146.829999999998;Deficit (Custo > Pacto)
CAMALAU;CAMALAÚ;20.0;14132.4;33242.87;-19110.47;Deficit (Custo > Pacto)
SERRA REDONDA;SERRA REDONDA;111.0;78434.82;93882.11;-15447.289999999994;Deficit (Custo > Pacto)
CATURITE;CATURITÉ;25.0;17665.5;32676.66;-15011.16;Deficit (Custo > Pacto)
SUME;SUMÉ;40.0;28264.8;43209.18;-14944.380000000001;Deficit (Custo > Pacto)
CABACEIRAS;CABACEIRAS;29.0;20491.98;34537.25;-14045.27;Deficit (Custo > Pacto)
INGA;INGÁ;226.0;159696.12;170116.05;-10419.929999999993;Deficit (Custo > Pacto)
MARI;0;0.0;0.0;8094.04;-8094.04;Deficit (Custo > Pacto)
UMBUZEIRO;UMBUZEIRO;80.0;56529.6;63739.53;-7209.93;Deficit (Custo > Pacto)
SALGADO DE SAO FELIX;0;0.0;0.0;7172.71;-7172.71;Deficit (Custo > Pacto)
SAO DOMINGOS DO CARIRI;SÃO DOMINGOS DO CARIRI;26.0;18372.12;25207.86;-6835.740000000002;Deficit (Custo > Pacto)
ITABAIANA;0;0.0;0.0;6422.99;-6422.99;Deficit (Custo > Pacto)
CASSERENGUE;CASSERENGUE;50.0;35331.0;41595.5;-6264.5;Deficit (Custo > Pacto)
JURIPIRANGA;0;0.0;0.0;5515.9;-5515.9;Deficit (Custo > Pacto)
LAGOA DE DENTRO;0;0.0;0.0;3913.63;-3913.63;Deficit (Custo > Pacto)
MATINHAS;MATINHAS;71.0;50170.02;53189.79000000001;-3019.7700000000114;Deficit (Custo > Pacto)
