financiamento;municipio_encaminhador;item_programacao;municipio_executor;quantidade_pactuada;valor_unitario;valor_total
MAC;Solânea;MC/OBSTETRÍCIA;Campina Grande;70;706,62;49.463,40
MAC;Cuitegi;MC/OBSTETRÍCIA;Campina Grande;8;706,62;5.652,96
MAC;Cacimba de Dentro;MC/OBSTETRÍCIA;Campina Grande;91;706,62;64.302,42
MAC;Bananeiras;MC/OBSTETRÍCIA;Campina Grande;67;706,62;47.343,54
MAC;Araruna;MC/OBSTETRÍCIA;Campina Grande;41;706,62;28.971,42
MAC;Casserengue;MC/OBSTETRÍCIA;Campina Grande;50;706,62;35.331,00
MAC;Itatuba;MC/OBSTETRÍCIA;Campina Grande;90;706,62;63.595,80
MAC;Mogeiro;MC/OBSTETRÍCIA;Campina Grande;60;706,62;42.397,20
MAC;Ingá;MC/OBSTETRÍCIA;Campina Grande;226;706,62;159.696,12
MAC;Juarez Távora;MC/OBSTETRÍCIA;Campina Grande;40;706,62;28.264,80
MAC;Riachão do Bacamarte;MC/OBSTETRÍCIA;Campina Grande;65;706,62;45.930,30
MAC;Lagoa Seca;MC/OBSTETRÍCIA;Campina Grande;400;706,62;282.648,00
MAC;Areial;MC/OBSTETRÍCIA;Campina Grande;111;706,62;78.434,82
MAC;Matinhas;MC/OBSTETRÍCIA;Campina Grande;71;706,62;50.170,02
MAC;Montadas;MC/OBSTETRÍCIA;Campina Grande;90;706,62;63.595,80
MAC;Alagoa Nova;MC/OBSTETRÍCIA;Campina Grande;329;706,62;232.477,98
MAC;Algodão de Jandaíra;MC/OBSTETRÍCIA;Campina Grande;41;706,62;28.971,42
MAC;Areia;MC/OBSTETRÍCIA;Campina Grande;300;706,62;211.986,00
MAC;Esperança;MC/OBSTETRÍCIA;Campina Grande;250;706,62;176.655,00
MAC;Alagoa Grande;MC/OBSTETRÍCIA;Campina Grande;230;706,62;162.522,60
MAC;Remígio;MC/OBSTETRÍCIA;Campina Grande;270;706,62;190.787,40
MAC;Arara;MC/OBSTETRÍCIA;Campina Grande;193;706,62;136.377,66
MAC;São Sebastião de Lagoa de Roça;MC/OBSTETRÍCIA;Campina Grande;184;706,62;130.018,08
MAC;Frei Martinho;MC/OBSTETRÍCIA;Campina Grande;27;706,62;19.078,74
MAC;Barra de Santa Rosa;MC/OBSTETRÍCIA;Campina Grande;120;706,62;84.794,40
MAC;São Vicente do Seridó;MC/OBSTETRÍCIA;Campina Grande;75;706,62;52.996,50
