====================================================================================================
RELATORIO SIGTAP - COMPETENCIA 06/2025
Valores extraidos do site SIGTAP para validacao
====================================================================================================

Total de procedimentos no SIGTAP para 06/2025: 125

==================================================================================================================================
TABELA COMPLETA DE PROCEDIMENTOS SIGTAP
==================================================================================================================================
Codigo       Nome                                               SA         SH         TA         SP         TH Complexidade          
                                                           Srv.Amb   Srv.Hosp    Tot.Amb   Srv.Prof   Tot.Hosp
----------------------------------------------------------------------------------------------------------------------------------
0202010040   DETERMINACAO DE CURVA GLICEMICA (2 DOSAGEN       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010120   DOSAGEM DE ACIDO URICO                           0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010201   DOSAGEM DE BILIRRUBINA TOTAL E FRACOES           0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010210   DOSAGEM DE CALCIO                                0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010260   DOSAGEM DE CLORETO                               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010279   DOSAGEM DE COLESTEROL HDL                        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010287   DOSAGEM DE COLESTEROL LDL                        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010295   DOSAGEM DE COLESTEROL TOTAL                      0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010317   DOSAGEM DE CREATININA                            0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010341   DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIR       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010368   DOSAGEM DE DESIDROGENASE LATICA                  0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010376   DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMA       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010392   DOSAGEM DE FERRO SERICO                          0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010422   DOSAGEM DE FOSFATASE ALCALINA                    0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010430   DOSAGEM DE FOSFORO                               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010465   DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010473   DOSAGEM DE GLICOSE                               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010503   DOSAGEM DE HEMOGLOBINA GLICOSILADA               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010562   DOSAGEM DE MAGNESIO                              0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010600   DOSAGEM DE POTASSIO                              0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010627   DOSAGEM DE PROTEINAS TOTAIS E FRACOES            0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010635   DOSAGEM DE SODIO                                 0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010643   DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACET       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010651   DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010678   DOSAGEM DE TRIGLICERIDEOS                        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202010694   DOSAGEM DE UREIA                                 0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020029   CONTAGEM DE PLAQUETAS                            0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020070   DETERMINAÇÃO DE TEMPO DE COAGULAÇÃO              0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020096   DETERMINAÇÃO DE TEMPO DE SANGRAMENTO -DUKE       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020100   DETERMINAÇÃO DE TEMPO DE SANGRAMENTO DE IV       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020134   DETERMINAÇÃO DE TEMPO DE TROMBOPLASTINA PA       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020142   DETERMINAÇÃO DE TEMPO E ATIVIDADE DA PROTR       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020150   DETERMINAÇÃO DE VELOCIDADE DE HEMOSSEDIMEN       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020290   DOSAGEM DE FIBRINOGENIO                          0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020380   HEMOGRAMA COMPLETO                               0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020479   PROVA DE COMPATIBILIDADE PRE-TRANSFUSIONAL       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020487   PROVA DE CONSUMO DE PROTROMBINA                  0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202020541   TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202030040   DETECÇÃO DE ÁCIDOS NUCLEICOS DO HIV-1 (QUA       0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202030202   DOSAGEM DE PROTEINA C REATIVA                    0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202030300   PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202030474   PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
0202030636   PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE        0.00       0.00       0.00       0.00       0.00 Média Complexidade    
